Category,Technology,Version,Company Size,Unlocked by,Unlocks,Unlocks Version,Description,Equipped Factor
ADVANCED_COMPUTING,AI,1,MEDIUM,"Machine Learning, Graphics Cards",Robotics, V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 3, RESEARCH: 3, INFLUENCE: 3, EMISSIONS: 3, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 3 }"
ADVANCED_COMPUTING,Quantum Computing,2,LARGE,"AI","Quantum Networking", V2,"Lorem ipsum","{ CAPITAL: 4, CASH: 4, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: -1, PUBLIC_OPINION: 2, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: -2 }"
MANUFACTURING_AND_MATERIALS,3D Printing,1,SMALL,"Advanced Materials","Additive Manufacturing", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 2, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
MANUFACTURING_AND_MATERIALS,Additive Manufacturing,2,MEDIUM,"3D Printing","Smart Manufacturing", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 0 }"
MISCELLANEOUS,Cybersecurity,1,MEDIUM,"Network Security","Data Privacy", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 0 }"
MISCELLANEOUS,Data Privacy,2,LARGE,"Cybersecurity","Digital Rights", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
TRANSPORTATION_TECHNOLOGIES,Electric Vehicles,1,SMALL,"Hybrid Vehicles","Autonomous Vehicles", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 2, EMISSIONS: -2, PUBLIC_OPINION: 4, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: -3 }"
TRANSPORTATION_TECHNOLOGIES,Autonomous Vehicles,2,LARGE,"Electric Vehicles","Hyperloop", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 5, INFLUENCE: 3, EMISSIONS: -4, PUBLIC_OPINION: 5, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: -5 }"
VIRTUAL_AND_AUGMENTED_REALITY,VR,1,SMALL,"AR","Mixed Reality", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 1, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 0 }"
VIRTUAL_AND_AUGMENTED_REALITY,Mixed Reality,2,MEDIUM,"VR","Virtual Workspaces", V3,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
ADVANCED_COMPUTING,Edge Computing,1,MEDIUM,"Cloud Computing","Fog Computing", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
ADVANCED_COMPUTING,Fog Computing,2,LARGE,"Edge Computing","Distributed Computing", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 0 }"
BIOTECHNOLOGY,Personalized Medicine,1,MEDIUM,"Genomics","Telemedicine", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 5, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
BIOTECHNOLOGY,Telemedicine,2,LARGE,"Personalized Medicine","Health Data Analytics", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 5, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 0 }"
ENERGY_TECHNOLOGIES,Nuclear Fusion,1,LARGE,"Nuclear Fission","Advanced Nuclear", V2,"Lorem ipsum","{ CAPITAL: 5, CASH: 4, RESEARCH: 5, INFLUENCE: 5, EMISSIONS: -5, PUBLIC_OPINION: 3, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: -5 }"
ENERGY_TECHNOLOGIES,Advanced Nuclear,2,Dominant,"Nuclear Fusion","Clean Energy", V3,"Lorem ipsum","{ CAPITAL: 6, CASH: 5, RESEARCH: 6, INFLUENCE: 6, EMISSIONS: -6, PUBLIC_OPINION: 4, PRODUCTIVITY: 6, ENVIRONMENTAL_IMPACT: -6 }"
FINANCIAL_TECHNOLOGIES,Digital Currency,1,SMALL,"Cryptocurrency","Central Bank Digital Currency", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 3, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
FINANCIAL_TECHNOLOGIES,Central Bank Digital Currency,2,MEDIUM,"Digital Currency","Stablecoins", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 4, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 0 }"
INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,Smart Home Tech,1,SMALL,"IoT","Home Automation", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 1, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 0 }"
INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,Home Automation,2,MEDIUM,"Smart Home Tech","Smart Cities", V3,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
LOGISTICS_AND_MARKETING,Automated Delivery,1,SMALL,"Drones","Last-Mile Delivery", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 2, EMISSIONS: 1, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 1 }"
LOGISTICS_AND_MARKETING,Last-Mile Delivery,2,MEDIUM,"Automated Delivery","Autonomous Delivery", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 5, INFLUENCE: 3, EMISSIONS: 1, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 1 }"
MANUFACTURING_AND_MATERIALS,Circular Economy,1,LARGE,"Waste Management","Recycling Technologies", V2,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: -2, PUBLIC_OPINION: 5, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: -3 }"
MANUFACTURING_AND_MATERIALS,Recycling Technologies,2,Dominant,"Circular Economy","Sustainable Materials", V3,"Lorem ipsum","{ CAPITAL: 5, CASH: 4, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: -4, PUBLIC_OPINION: 5, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: -5 }"
TRANSPORTATION_TECHNOLOGIES,Hyperloop,1,Dominant,"Maglev Trains","Vacuum Trains", V2,"Lorem ipsum","{ CAPITAL: 5, CASH: 5, RESEARCH: 6, INFLUENCE: 5, EMISSIONS: -5, PUBLIC_OPINION: 4, PRODUCTIVITY: 6, ENVIRONMENTAL_IMPACT: -6 }"
TRANSPORTATION_TECHNOLOGIES,Vacuum Trains,2,Monopoly,"Hyperloop","Teleportation", V3,"Lorem ipsum","{ CAPITAL: 6, CASH: 6, RESEARCH: 7, INFLUENCE: 6, EMISSIONS: -6, PUBLIC_OPINION: 5, PRODUCTIVITY: 7, ENVIRONMENTAL_IMPACT: -7 }"
VIRTUAL_AND_AUGMENTED_REALITY,AR,1,SMALL,"VR","VR Training", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 1, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 0 }"
VIRTUAL_AND_AUGMENTED_REALITY,VR Training,2,MEDIUM,"AR","Virtual Reality Therapy", V3,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
